# Column     -  Units  - Description
# IDcand     -         - Stream Candidate ID    
# CSS-SSS-ID -         - Catalina object ID         
# RAJ2000    -  deg    - J2000 right ascension      
# DEJ2000    -  deg    - J2000 declination      
# Rhel       -  kpc    - heliocentric distance     
# Rgal       -  kpc    - galactocentric distance (assuming Xsun=-8.5kpc)     
# Period     -  d      - Light curve period   
# AmpV       -  mag    - Light curve amplitude     
# FeH        -  dex    - Metallicity     
# flag       -         - FeH flag (0=metallicity from Drake+2013, 1=photometric metallicity computed in this paper)   
# pmRA       -  mas/yr - HSOY Proper motion in RA*cos(DE)        
# epmRA      -  mas/yr - pmRA error        
# pmDE       -  mas/yr - HSOY Proper motion in declination        
# epmDE      -  mas/yr - pmDE error        
# HSOY-ID    -         - HSOY object ID               
# IDcand   CSS-SSS-ID         RAJ2000     DEJ2000     Rhel    Rgal   Period    AmpV    FeH      flag   pmRA    epmRA   pmDE    epmDE   HSOY-ID
  08.0-1   J194614.7-475308   296.5612    -47.88565   15.05   8.78   0.52545   1.11    -1.59    0      3.7     3.9     -5.7    3.9     6.3919206859140751E18   
  08.0-1   J195404.6-463235   298.51916   -46.54307   14.74   8.59   0.60426   0.51    -1.62    0      0.3     3.8     -7.4    3.8     6.3932068989551012E18   
  08.0-1   J195637.7-472215   299.15717   -47.37095   14.97   8.88   0.73802   0.76    -1.56    0      3.0     4.0     -3.8    4.0     6.3940411944761098E18   
  08.0-1   J193023.4-493751   292.59755   -49.63082   15.14   8.7    0.607     0.58    -1.14    0      4.7     4.0     -5.0    4.0     6.3851170651068221E18   
  08.0-1   J184125.1-513419   280.35463   -51.57189   15.19   8.29   0.47983   1.09    -1.3     0      -0.6    3.6     -5.2    3.6     6.3561294723409562E18   
  08.0-1   J185345.2-513043   283.43847   -51.51199   15.42   8.62   0.50957   0.91    -0.98    0      -5.2    3.8     -5.0    3.8     6.3567522712801475E18   
  08.0-1   J142720.1-063600   216.83397   -6.60003    11.11   8.87   0.50869   1.09    -9.0     1      -5.7    2.3     1.7     2.3     4.0080538593599053E18   
  08.0-1   J142826.1-141837   217.109     -14.31029   12.02   8.9    0.55005   0.88    -1.449   1      -7.1    2.3     -2.6    2.3     3.9909337586199885E18   
  08.0-1   J143257.7-141842   218.24072   -14.31167   11.62   8.48   0.50222   1.17    -9.0     1      -7.0    2.4     -2.7    2.4     3.9911828133038387E18   
  08.0-1   J144001.5-092837   220.00625   -9.47713    10.82   8.07   0.56443   0.69    -1.119   1      -8.1    2.3     -2.8    2.3     4.018989248705068E18    
  08.0-1   J145121.6+051245   222.84026   5.21263     9.25    8.09   0.65017   0.93    -9.0     1      -7.9    2.2     3.1     2.2     4.4213900805226399E18   
  08.0-1   J150305.1+215316   225.77149   21.88788    8.42    8.99   0.65264   0.45    -9.0     1      -1.5    2.0     -8.3    2.0     5.3331011693712394E18   
  08.0-1   J152011.1+225853   230.04634   22.98155    8.08    8.62   0.55617   0.67    -1.673   1      -3.6    2.0     -3.9    2.0     5.3377673557322885E18   
  08.0-1   J160207.9+270332   240.53333   27.05902    7.5     8.19   0.67887   0.68    -1.671   1      1.0     2.1     -6.1    2.1     5.3575819817539707E18   
  08.0-1   J162603.0+314739   246.51251   31.79441    7.22    8.36   0.5588    0.81    -9.0     1      -2.4    2.2     -9.2    2.2     5.4151665128290406E18   
  08.0-1   J162704.5+325415   246.76914   32.90438    7.36    8.53   0.60778   0.47    -0.934   1      -5.9    2.2     -4.5    2.2     5.416863354052565E18    
  08.0-1   J165603.4+321604   254.01436   32.26779    6.85    8.07   0.51587   1.03    -9.0     1      -5.7    2.1     -6.0    2.1     5.4196084731489741E18   
  08.0-1   J172831.8+382242   262.13287   38.37834    7.02    8.7    0.45821   0.97    -9.0     1      -3.0    2.2     -6.6    2.2     5.4605476934594939E18   
  08.0-1   J173709.0+374245   264.28763   37.71273    7.06    8.64   0.55835   0.89    -9.0     1      -3.7    2.1     -4.6    2.1     5.463133496046209E18    
  08.0-1   J182403.7+390428   276.01562   39.07448    7.23    8.93   0.52735   0.9     -0.64    1      -0.3    2.2     -3.8    2.2     5.6602081599888824E18   
  08.0-1   J205401.1+013809   313.50484   1.63609     9.02    8.03   0.5993    0.45    -0.725   1      3.2     2.2     0.8     2.2     5.5726958668716237E18   
  08.0-1   J205533.6+045635   313.89018   4.94325     8.99    8.33   0.63084   1.05    -1.798   1      -1.0    2.2     -7.3    2.2     5.5751599271056968E18   
  08.0-1   J205614.6+070204   314.06092   7.03448     9.05    8.56   0.57131   0.57    -0.913   1      2.7     2.3     -8.6    2.3     5.581789241561898E18    
  08.0-1   J210702.4-034626   316.76015   -3.77393    9.64    8.29   0.70645   0.6     -1.879   1      0.6     2.3     -3.6    2.3     1.34301253141390669E18  
  08.0-1   J210938.7-010617   317.41153   -1.10492    9.87    8.7    0.48299   0.8     -1.464   1      1.1     2.2     -2.7    2.2     1.34609424796488346E18  
  08.0-1   J211314.9-110154   318.31238   -11.03193   11.05   8.8    0.4599    0.86    -1.184   1      -3.9    2.4     -4.6    2.4     1.31048606586289101E18  
  08.0-1   J211621.1-150318   319.08796   -15.05503   11.24   8.76   0.5397    0.78    -0.424   1      -2.0    2.3     -5.5    2.3     1.31070877812375373E18  
  08.0-2   J112937.2-154209   172.40519   -15.70257   3.58    8.98   0.6643    0.58    -1.3     0      -2.9    1.0     -2.3    1.0     3.7058796394936161E18   
  08.0-2   J123121.8-190004   187.84103   -19.00117   3.71    8.11   0.55295   0.83    -1.25    0      -6.8    2.1     0.7     2.1     3.9048278607793362E18   
